location_name,location_index,location_midpoint_lng,location_midpoint_lat,location_comments,survey_start_year,survey_start_month,survey_start_day,survey_end_year,survey_end_month,survey_end_day,survey_time,survey_comments,personnel_list,sponsor_list,document_list,species_common_name,species_abundance,site_use,data_quality,breeding_individuals,total_individuals,count_conversions,best_current_value,status_record_comments,,,,,,,,,,,,,,
1071 Cliff,AK Map 56 Site 3,-172.41753,60.33865,,1977,7,15,1977,7,15,,,"Tony DeGange <tdegange@usgs.gov>, Arthur Sowls",,"DeGange, A.R. and A.L. Sowls. 1978. A faunal reconnaissance of the Bering Sea National Wildlife Refuge, 26 June - 27 July, 1977",Tufted Puffin,Unspecified,Breeding,Fair,,1100,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
15 Ft. Island @ Atahgo Pt.,AK Map 55 Site 6,-165.54163,59.97696,,1985,6,10,1985,6,10,,,"Tony Amos, Dean Cramer",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,20,,TRUE,,,,,,,,,,,,,,,
16-21 Island,AK Map 49 Site 28,-149.62724,59.65305,,1976,6,,1976,6,,,,Edgar Bailey,,"Bailey, E.P.. 1977. Distribution and abundance of marine birds and mammals along the south side of the Kenai Peninsula, Alaska, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Unspecified,Breeding,Fair,100,,2x census data value,FALSE,,,,,,,,,,,,,,,
16-21 Island,AK Map 49 Site 28,-149.62724,59.65305,,1986,7,7,1986,7,7,,Survey subunit # 904.,"Mike Nishimoto, Bud Rice",,"Nishimoto, M., and B. Rice. 1987. A re-survey of seabirds and marine mammals along the south coast of the Kenai Peninsula, Alaska during the summer of 1986",Tufted Puffin,Present,Breeding,Fair,,51,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
28 Section,AK Map 50 Site 33,-150.29691,59.44859,,1976,6,19,1976,7,14,,Entire census conducted 19 June to 14 July 1976.,Edgar Bailey,,"Bailey, E.P.. 1976. Breeding seabird distribution and abundance along the south side of the Kenai Peninsula, Alaska",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,150,,2x census data value,TRUE,,,,,,,,,,,,,,,
300 Island,AK Map 49 Site 34,-149.5058,59.71939,,1976,6,,1976,6,,,,Edgar Bailey,,"Bailey, E.P.. 1977. Distribution and abundance of marine birds and mammals along the south side of the Kenai Peninsula, Alaska, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Unspecified,Breeding,Fair,500,,2x census data value,TRUE,,,,,,,,,,,,,,,
500 Contour,AK Map 35 Site 24,-154.75689,57.33139,,1978,7,23,1978,7,23,,,"D. Barbour, Arthur Sowls",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Poor,,,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
60 Foot Rock,AK Map 50 Site 10,-151.46391,59.5497,,1976,,,1976,,,,,"Paul Arneson, David Erikson",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding and Roosting,Unknown,52,,2x census data value,FALSE,,,,,,,,,,,,,,,
60 Foot Rock,AK Map 50 Site 10,-151.46391,59.5497,,1984,7,24,1984,7,24,,,Mike Nishimoto,,"Nishimoto, M., D. Debinski, K. Rose, and K. Thounhurst. 1987. Breeding seabirds at Gull Island and Sixty-Foot Rock, Kachemak Bay during 1984-86",Tufted Puffin,Present,Breeding,Fair,,17,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
60 Foot Rock,AK Map 50 Site 10,-151.46391,59.5497,,1986,7,31,1986,7,31,,,Mike Nishimoto,,"Nishimoto, M., D. Debinski, K. Rose, and K. Thounhurst. 1987. Breeding seabirds at Gull Island and Sixty-Foot Rock, Kachemak Bay during 1984-86",Tufted Puffin,Present,Breeding,Fair,,13,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
60 Foot Rock,AK Map 50 Site 10,-151.46391,59.5497,,1987,7,,1987,7,,,,"Beth Beringer, Mike Nishimoto",,"Nishimoto, M. and B. Beringer. 1989. Breeding seabirds at Gull Island and Sixty-foot Rock during 1987-88",Tufted Puffin,Present,Breeding,Fair,,5,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
60 Foot Rock,AK Map 50 Site 10,-151.46391,59.5497,,1988,6,25,1988,6,25,,,"Beth Beringer, Mike Nishimoto",,"Nishimoto, M. and B. Beringer. 1989. Breeding seabirds at Gull Island and Sixty-foot Rock during 1987-88",Tufted Puffin,Present,Breeding,Fair,,2,2x census data value,FALSE,Multiplied observers est by 2,,,,,,,,,,,,,,
60 Foot Rock,AK Map 50 Site 10,-151.46391,59.5497,,1989,6,27,1989,6,27,,,"Beth Beringer, Mike Nishimoto",,"Nishimoto, M., and B. Beringer. 1990. Breeding seabirds at Gull Island and Sixty-Foot Rock during 1989",Tufted Puffin,Unspecified,Breeding,Fair,,5,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
