OBJECTID,SiteID,SiteName1,SiteName2,Region,SubRegion,Datum,Latitude,Longitude,SurveyYear,DateStart,DateFin,SpeciesID,NestPairs,Individuals,Eggs,LiveYoung,EmptyNests,Technique,ColSize,DataRef,ObserverID,LocDesc,GeorefPt,GazetteName,CorrespLoc,DataEntryPers,DateEntered,Notes
1,EM-010.01,Kunghit Island - Blackburn Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.112125,-130.997121,1986,5/Jun/86,17/Jun/86,BLOY,1,,0,1,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Blackburn Rock"" - rock at north end of Blackburn Peninsula.",,Yes,More than,williamsr,2008-05-29,
2,EM-010.01,Kunghit Island - Blackburn Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.112125,-130.997121,2005,25/Jun/05,25/Jun/05,BLOY,2,,4,0,,Total count,0,59,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Blackburn Rock"" - rock at north end of Blackburn Peninsula.",,Yes,More than,williamsr,2008-05-29,
3,EM-010.02,"Kunghit Island, Jenkins Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.109795,-130.975572,1986, , ,ANMU,800,,,,,Partial Count,8.9,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Jenkins Point- on north side of Kunghit Island.,,Yes,More than,williamsr,2008-05-29,
4,EM-010.02,"Kunghit Island, Jenkins Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.109795,-130.975572,1993, , ,ANMU,11,,,,,Total count,0,24,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Jenkins Point- on north side of Kunghit Island.,,Yes,More than,williamsr,2008-05-29,
5,EM-010.02,"Kunghit Island, Jenkins Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.109795,-130.975572,2004, , ,ANMU,0,,,,,Total Count,0,30,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Jenkins Point- on north side of Kunghit Island.,,Yes,More than,williamsr,2008-05-29,
6,EM-010.03,"Kunghit Island, Lyman Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.092894,-130.938803,1986, , ,CAAU,50,,,,,Partial Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Lyman Point - on east side of Kunghit Island.,,Yes,More than,williamsr,2008-05-29,
7,EM-010.03,"Kunghit Island, Lyman Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.092894,-130.938803,1986, , ,PIGU,,109,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Lyman Point - on east side of Kunghit Island.,,Yes,More than,williamsr,2008-05-29,
8,EM-010.03,"Kunghit Island, Lyman Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.092894,-130.938803,1986, , ,RHAU,2500,,,,,Partial Count,43,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Lyman Point - on east side of Kunghit Island.,,Yes,More than,williamsr,2008-05-29,
9,EM-010.03,"Kunghit Island, Lyman Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.092894,-130.938803,1986, , ,TUPU,,80,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Lyman Point - on east side of Kunghit Island.,,Yes,More than,williamsr,2008-05-29,
10,EM-010.03,"Kunghit Island, Lyman Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.092894,-130.938803,1993, , ,RHAU,2500,,,,,Total count,43,24,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Lyman Point - on east side of Kunghit Island.,,Yes,More than,williamsr,2008-05-29,
