USFWSColonyCode,ColonyName,SurveyDate,AOUCode,EstimatedPopulation,RevisedSurveyDate,RevisedCount,RevisedEstimatedPopulation,Comments
325-003-00,Prince Island (DN),3-Jul-80,TUPU,8,3-Jul-80,8,8,"Survey count from Colony Status Records Catalog (pg 21). In addition to 8 counted, prevous day 1 adult and egg found in burrow. "
325-003-00,Prince Island (DN),29-Jul-89,TUPU,7,29-Jul-89,7,27,
325-006-01,Castle Rock NWR,20-May-89,TUPU,34,20-May-89,34,82,
325-006-01,Castle Rock NWR,5-Jun-14,TUPU,4,5-Jun-14,,4,"Date not found near this entry other than 21 July 1917 ""four Tufted Puffins"" (Osborne 1972, pg 99). Could be referencing 5 June 2014 aerial count but that was reported as 3 birds not 4. "
325-006-99,Castle Rock NWR,1-Jun-70,TUPU,50,13-Aug-70,56,50,"Several dates listed, used last one in revised date. Counted 56 total birds on 13 August 1970. ""About 25 pairs bred on the island"" (Osborne 1972, pg 111), likely wherethe population estimate was derived from but no method provided"
325-006-99,Castle Rock NWR,1-Jul-80,TUPU,100,1-Jul-80,,100,"No specified survey date, used provided date as revised date"
325-006-99,Castle Rock NWR,,TUPU,,19-Jun-80,40,,ADDED: Survey count from Colony Status Records Catalog (pg 25)
325-006-99,Castle Rock NWR,,TUPU,22,21-May-79,22,,"ADDED: Survey count from Colony Status Records Catalog (pg 27). In remarks: ""62 burrows counted"""
325-006-99,Castle Rock NWR,,TUPU,,1-Apr-07,4,,"ADDED: Survey count by R. Golightly, no speficied survey date, revised date as 1 April 2007"
325-006-99,Castle Rock NWR,,TUPU,,18-Apr-09,3,,ADDED: Survey count by D. Coldren
325-006-99,Castle Rock NWR,,TUPU,,23-Apr-10,6,,ADDED: Survey count by C. Strong
325-006-99,Castle Rock NWR,,TUPU,,6-May-10,2,,ADDED: Survey count by C. Strong
325-006-99,Castle Rock NWR,,TUPU,,7-May-10,7,,ADDED: Survey count by C. Strong
