ID,USFWSGroupedColonyCode,USFWSColonyCode,CCN,ColonyName,SubColonyName,FullColonyName,County,ColonyType,LocationComments,Longitude,Latitude,Island,Jurisdiction,SubRegion
1,325-001,325-001-00,,Cone Rock,0,Cone Rock,Del Norte,"Colony, no subcolonies",,-124.21855646000,41.97322749100,,BLM,Southern Oregon and Northern California
2,325-002,325-002-00,DN-414-02,Hunter Rocks,0,Hunter Rocks,Del Norte,"Colony, no subcolonies",,-124.21251000000,41.95647300020,,,Southern Oregon and Northern California
3,325-003,325-003-00,DN-414-03,Prince Island (DN),0,Prince Island (DN),Del Norte,"Colony, no subcolonies",,-124.21499200000,41.95112199980,,BLM,Southern Oregon and Northern California
4,325-006,325-006-01,DN-414-06,Castle Rock NWR,1,Castle Rock NWR-1,Del Norte,Subcolony,,-124.24944500000,41.76157799970,,USFWS,Southern Oregon and Northern California
5,325-006,325-006-02,DN-414-06,Castle Rock NWR,2,Castle Rock NWR-2,Del Norte,Subcolony,,-124.24418800000,41.76412699980,,BLM,Southern Oregon and Northern California
6,325-006,325-006-99,DN-414-06,Castle Rock NWR,99,Castle Rock NWR Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.24710400000,41.76248600030,,,Southern Oregon and Northern California
7,325-007,325-007-01,DN-414-07,Tolowa Rocks,1,Tolowa Rocks-1,Del Norte,Subcolony,,-124.23356100000,41.76115800000,,BLM,Southern Oregon and Northern California
8,325-007,325-007-02,DN-414-07,Tolowa Rocks,2,Tolowa Rocks-2,Del Norte,Subcolony,,-124.24650364400,41.75753541730,,,Southern Oregon and Northern California
9,325-007,325-007-03,DN-414-07,Tolowa Rocks,3,Tolowa Rocks-3,Del Norte,Subcolony,,-124.24029851300,41.75690431230,,BLM,Southern Oregon and Northern California
10,325-007,325-007-04,DN-414-07,Tolowa Rocks,4,Tolowa Rocks-4,Del Norte,Subcolony,,-124.23783200000,41.75709100010,,BLM,Southern Oregon and Northern California
11,325-007,325-007-05,DN-414-07,Tolowa Rocks,5,Tolowa Rocks-5,Del Norte,Subcolony,,-124.23707200000,41.75633899970,,BLM,Southern Oregon and Northern California
12,325-007,325-007-06,DN-414-07,Tolowa Rocks,6,Tolowa Rocks-6,Del Norte,Subcolony,,-124.22487800000,41.75611400030,,BLM,Southern Oregon and Northern California
13,325-007,325-007-07,DN-414-07,Tolowa Rocks,7,Tolowa Rocks-7,Del Norte,Subcolony,,-124.22758900000,41.75314000030,,BLM,Southern Oregon and Northern California
14,325-007,325-007-99,DN-414-07,Tolowa Rocks,99,Tolowa Rocks Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.23469300000,41.75585699990,,BLM,Southern Oregon and Northern California
15,325-008,325-008-00,,White Rock,0,White Rock,Del Norte,"Colony, no subcolonies",,-124.22989800000,41.74692700000,,BLM,Southern Oregon and Northern California
16,325-009,325-009-01,DN-412-02,Sister Rocks,1,Sister Rocks-1,Del Norte,Subcolony,,-124.14594100000,41.65790100030,,BLM,Southern Oregon and Northern California
17,325-009,325-009-02,DN-412-02,Sister Rocks,2,Sister Rocks-2,Del Norte,Subcolony,,-124.14538600000,41.65794299980,,BLM,Southern Oregon and Northern California
18,325-009,325-009-03,DN-412-02,Sister Rocks,3,Sister Rocks-3,Del Norte,Subcolony,,-124.14534400000,41.65830599970,,BLM,Southern Oregon and Northern California
19,325-009,325-009-99,DN-412-02,Sister Rocks,99,Sister Rocks Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.14582000000,41.65828000000,,BLM,Southern Oregon and Northern California
20,325-010,325-010-00,DN-412-07,False Klamath Rock,0,False Klamath Rock,Del Norte,"Colony, no subcolonies",,-124.11172071800,41.59391990420,,,Southern Oregon and Northern California
21,325-011,325-011-00,DN-412-10,Flint Rock Head,0,Flint Rock Head,Del Norte,"Colony, no subcolonies",,-124.08380942900,41.52467208680,,,Southern Oregon and Northern California
22,325-012,325-012-00,DN-412-11,White Rock,0,White Rock,Del Norte,"Colony, no subcolonies",,-124.08543800000,41.51535399970,,,Southern Oregon and Northern California
23,325-013,325-013-00,HU-412-01,Redding Rock,0,Redding Rock,Humboldt,"Colony, no subcolonies",,-124.17755200000,41.33997099970,,,Southern Oregon and Northern California
24,325-015,325-015-00,HU-410-02,Cormorant Rock,0,Cormorant Rock,Humboldt,"Colony, no subcolonies",,-124.15953900000,41.14281900000,,BLM,Southern Oregon and Northern California
25,325-016,325-016-01,,Wedding Rock,1,Wedding Rock-1,Humboldt,Subcolony,,-124.16052400000,41.14217700020,,BLM,Southern Oregon and Northern California
26,325-016,325-016-02,,Wedding Rock,2,Wedding Rock-2,Humboldt,Subcolony,,-124.16181462800,41.14114046480,,BLM,Southern Oregon and Northern California
27,325-016,325-016-03,,Wedding Rock,3,Wedding Rock-3,Humboldt,Subcolony,,-124.16474400000,41.13883799990,,BLM,Southern Oregon and Northern California
28,325-016,325-016-99,HU-410-03,Wedding Rock,99,Wedding Rock Centroid,Humboldt,"Colony, centroid of subcolonies",,-124.16417000000,41.14031900000,,BLM,Southern Oregon and Northern California
29,325-017,325-017-00,HU-410-05,Sea Gull Rock,0,Sea Gull Rock,Humboldt,"Colony, no subcolonies",,-124.16328600000,41.12370999990,,BLM,Southern Oregon and Northern California
30,325-018,325-018-00,HU-410-07,Sea Lion Rock 2 (HU),0,Sea Lion Rock 2 (HU),Humboldt,"Colony, no subcolonies",,-124.16626300000,41.09504300010,,BLM,Southern Oregon and Northern California
31,325-019,325-019-00,HU-410-08,White Rock (HU),0,White Rock (HU),Humboldt,"Colony, no subcolonies",,-124.16176300000,41.08698299980,,BLM,Southern Oregon and Northern California
32,325-020,325-020-00,HU-410-09,Green Rock,0,Green Rock,Humboldt,"Colony, no subcolonies",,-124.16613800000,41.07555399990,,BLM,Southern Oregon and Northern California
33,325-021,325-021-00,,Puffin Rock,0,Puffin Rock,Humboldt,"Colony, no subcolonies",,-124.16143100000,41.07175100010,,BLM,Southern Oregon and Northern California
34,325-022,325-022-00,HU-410-11,Little Pewetole Rock,0,Little Pewetole Rock,Humboldt,"Colony, no subcolonies",,-124.15499900000,41.06573900030,,BLM,Southern Oregon and Northern California
35,325-023,325-023-00,HU-410-13,Flatiron Rock,0,Flatiron Rock,Humboldt,"Colony, no subcolonies",,-124.16331300000,41.05973900010,,BLM,Southern Oregon and Northern California
36,325-024,325-024-00,HU-410-14,Blank Rock,0,Blank Rock,Humboldt,"Colony, no subcolonies",,-124.15979300000,41.05490800020,,BLM,Southern Oregon and Northern California
37,325-025,325-025-00,HU-410-15,Trinidad Head,0,Trinidad Head,Humboldt,"Colony, no subcolonies",,-124.15042200000,41.05403300030,,,Southern Oregon and Northern California
38,325-026,325-026-00,HU-410-16,Pilot Rock,0,Pilot Rock,Humboldt,"Colony, no subcolonies",,-124.15208900000,41.04341600000,,BLM,Southern Oregon and Northern California
39,325-027,325-027-00,HU-410-17,Prisoner Rock,0,Prisoner Rock,Humboldt,"Colony, no subcolonies",,-124.14471800000,41.05244400030,,BLM,Southern Oregon and Northern California
40,325-035,325-035-00,HU-410-19,Little River Rock,0,Little River Rock,Humboldt,"Colony, no subcolonies",,-124.12348400000,41.03529500000,,BLM,Southern Oregon and Northern California
41,325-040,325-040-01,HU-402-01,False Cape Rocks,1,False Cape Rocks-1,Humboldt,Subcolony,,-124.39285600000,40.51066099970,,BLM,Southern Oregon and Northern California
42,325-040,325-040-02,HU-402-01,False Cape Rocks,2,False Cape Rocks-2,Humboldt,Subcolony,,-124.39510600000,40.51086400030,,BLM,Southern Oregon and Northern California
43,325-040,325-040-03,HU-402-01,False Cape Rocks,3,False Cape Rocks-3,Humboldt,Subcolony,,-124.39646100000,40.50997800000,,BLM,Southern Oregon and Northern California
44,325-040,325-040-99,HU-402-01,False Cape Rocks,99,False Cape Rocks Centroid,Humboldt,"Colony, centroid of subcolonies",,-124.39448200000,40.50987400010,,,Southern Oregon and Northern California
45,325-041,325-041-00,HU-402-02,Sugarloaf Island,0,Sugarloaf Island,Humboldt,"Colony, no subcolonies",,-124.41373600000,40.43854199970,,BLM,Southern Oregon and Northern California
46,325-042,325-042-00,HU-402-03,Steamboat Rock,0,Steamboat Rock,Humboldt,"Colony, no subcolonies",,-124.40400300000,40.41523199980,,BLM,Southern Oregon and Northern California
47,325-043,325-043-00,,Sea Lion Rock 1 (HU),0,Sea Lion Rock 1 (HU),Humboldt,"Colony, no subcolonies",,-124.33377200000,40.23872199990,,BLM,Southern Oregon and Northern California
48,325-044,325-044-01,DN-414-04,Point St George Lighthouse,1,Point St George Lighthouse-1,Del Norte,Subcolony,,-124.37573000000,41.83638300010,,,Southern Oregon and Northern California
49,325-044,325-044-02,DN-414-04,Point St George Lighthouse,2,Point St George Lighthouse-2,Del Norte,Subcolony,,-124.35222800000,41.81345699970,,,Southern Oregon and Northern California
50,325-044,325-044-03,DN-414-04,Point St George Lighthouse,3,Point St George Lighthouse-3,Del Norte,Subcolony,,-124.29214000000,41.77457599980,,,Southern Oregon and Northern California
51,325-044,325-044-03,DN-414-04,Point St George Lighthouse,3,Point St George Lighthouse-3,Del Norte,Subcolony,,-124.29214000000,41.77457599980,,,Southern Oregon and Northern California
52,325-044,325-044-99,DN-414-04,Point St George Lighthouse,99,Point St George Lighthouse Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.32976500000,41.80127400010,,,Southern Oregon and Northern California
53,325-045,325-045-01,DN-414-09,Crescent City Harbor Area,1,Crescent City Harbor Area-1,Del Norte,Subcolony,,-124.20947000000,41.74556300020,,,Southern Oregon and Northern California
54,325-045,325-045-02,DN-414-09,Crescent City Harbor Area,2,Crescent City Harbor Area-2,Del Norte,Subcolony,,-124.19969800000,41.73875699970,,BLM,Southern Oregon and Northern California
55,325-045,325-045-03,DN-414-09,Crescent City Harbor Area,3,Crescent City Harbor Area-3,Del Norte,Subcolony,,-124.19150900000,41.73196699990,,BLM,Southern Oregon and Northern California
56,325-045,325-045-04,DN-414-09,Crescent City Harbor Area,4,Crescent City Harbor Area-4,Del Norte,Subcolony,,-124.19095844100,41.73630589370,,,Southern Oregon and Northern California
57,325-045,325-045-05,DN-414-09,Crescent City Harbor Area,5,Crescent City Harbor Area-5,Del Norte,Subcolony,,-124.19644200000,41.74259599970,,,Southern Oregon and Northern California
58,325-045,325-045-06,DN-414-09,Crescent City Harbor Area,6,Crescent City Harbor Area-6,Del Norte,Subcolony,,-124.18575600000,41.74406199990,,BLM,Southern Oregon and Northern California
59,325-045,325-045-07,DN-414-09,Crescent City Harbor Area,7,Crescent City Harbor Area-7,Del Norte,Subcolony,,-124.18428800000,41.74010199970,,,Southern Oregon and Northern California
60,325-045,325-045-99,DN-414-09,Crescent City Harbor Area,99,Crescent City Harbor Area Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.19998100000,41.73701700010,,,Southern Oregon and Northern California
61,325-046,325-046-01,DN-414-10,Unnamed Small Rocks,1,Unnamed Small Rocks-1,Del Norte,Subcolony,,-124.14402600000,41.69572599980,,,Southern Oregon and Northern California
62,325-046,325-046-02,DN-414-10,Unnamed Small Rocks,2,Unnamed Small Rocks-2,Del Norte,Subcolony,,-124.14339000000,41.69230099990,,,Southern Oregon and Northern California
63,325-046,325-046-03,DN-414-10,Unnamed Small Rocks,3,Unnamed Small Rocks-3,Del Norte,Subcolony,,-124.14569500000,41.69068799990,,BLM,Southern Oregon and Northern California
64,325-046,325-046-04,DN-414-10,Unnamed Small Rocks,4,Unnamed Small Rocks-4,Del Norte,Subcolony,,-124.14333200000,41.69073400020,,,Southern Oregon and Northern California
65,325-046,325-046-05,DN-414-10,Unnamed Small Rocks,5,Unnamed Small Rocks-5,Del Norte,Subcolony,,-124.14494815400,41.69015437620,,,Southern Oregon and Northern California
66,325-046,325-046-06,DN-414-10,Unnamed Small Rocks,6,Unnamed Small Rocks-6,Del Norte,Subcolony,,-124.14369100000,41.68707200030,,BLM,Southern Oregon and Northern California
67,325-046,325-046-99,DN-414-10,Unnamed Small Rocks,99,Unnamed Small Rocks Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.14557000000,41.69114799990,,,Southern Oregon and Northern California
68,325-047,325-047-01,,Easy Triangle Rocks,1,Easy Triangle Rocks-1,Del Norte,Subcolony,,-124.14134600000,41.67388300000,,BLM,Southern Oregon and Northern California
69,325-047,325-047-02,,Easy Triangle Rocks,2,Easy Triangle Rocks-2,Del Norte,Subcolony,,-124.14187300000,41.67285500000,,BLM,Southern Oregon and Northern California
70,325-047,325-047-03,,Easy Triangle Rocks,3,Easy Triangle Rocks-3,Del Norte,Subcolony,,-124.14335800000,41.67281799970,,BLM,Southern Oregon and Northern California
71,325-047,325-047-04,,Easy Triangle Rocks,4,Easy Triangle Rocks-4,Del Norte,Subcolony,,-124.14137500000,41.67206499990,,BLM,Southern Oregon and Northern California
72,325-047,325-047-05,,Easy Triangle Rocks,5,Easy Triangle Rocks-5,Del Norte,Subcolony,,-124.14027600000,41.67162199970,,BLM,Southern Oregon and Northern California
73,325-047,325-047-99,,Easy Triangle Rocks,99,Easy Triangle Rocks Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.14283500000,41.67236899990,,BLM,Southern Oregon and Northern California
74,325-048,325-048-00,DN-412-01,Rock Rock,0,Rock Rock,Del Norte,"Colony, no subcolonies",,-124.14611000000,41.66608000000,,,Southern Oregon and Northern California
75,325-049,325-049-00,DN-412-04,Last Chance Rock,0,Last Chance Rock,Del Norte,"Colony, no subcolonies",,-124.12547300000,41.64291099980,,,Southern Oregon and Northern California
76,325-050,325-050-01,,Footstep Rock,1,Footstep Rock-1,Del Norte,Subcolony,,-124.11569200000,41.61586799970,,,Southern Oregon and Northern California
77,325-050,325-050-02,,Footstep Rock,2,Footstep Rock-2,Del Norte,Subcolony,,-124.11640900000,41.61521300020,,,Southern Oregon and Northern California
78,325-050,325-050-99,,Footstep Rock,99,Footstep Rock Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.11682600000,41.61599499990,,,Southern Oregon and Northern California
79,325-051,325-051-01,DN-412-09,Radar Station Rocks,1,Radar Station Rocks-1,Del Norte,Subcolony,,-124.09901400000,41.56436300000,,,Southern Oregon and Northern California
80,325-051,325-051-02,DN-412-09,Radar Station Rocks,2,Radar Station Rocks-2,Del Norte,Subcolony,,-124.09232600000,41.55267700000,,,Southern Oregon and Northern California
81,325-051,325-051-03,DN-412-09,Radar Station Rocks,3,Radar Station Rocks-3,Del Norte,Subcolony,,-124.09082300000,41.55213799980,,,Southern Oregon and Northern California
82,325-051,325-051-04,DN-412-09,Radar Station Rocks,4,Radar Station Rocks-4,Del Norte,Subcolony,,-124.08907000000,41.55104099980,,,Southern Oregon and Northern California
83,325-051,325-051-05,DN-412-09,Radar Station Rocks,5,Radar Station Rocks-5,Del Norte,Subcolony,,-124.09072800000,41.55131199980,,,Southern Oregon and Northern California
84,325-051,325-051-06,DN-412-09,Radar Station Rocks,6,Radar Station Rocks-6,Del Norte,Subcolony,,-124.08948200000,41.55106000010,,,Southern Oregon and Northern California
85,325-051,325-051-99,DN-412-09,Radar Station Rocks,99,Radar Station Rocks Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.09724000000,41.55960899980,,,Southern Oregon and Northern California
86,325-052,325-052-01,,Palmers Point to Scotty Point,1,Palmers Point to Scotty Point-1,Humboldt,Subcolony,,-124.16557100000,41.12973200030,,,Southern Oregon and Northern California
87,325-052,325-052-02,,Palmers Point to Scotty Point,2,Palmers Point to Scotty Point-2,Humboldt,Subcolony,,-124.16480400000,41.12871399980,,BLM,Southern Oregon and Northern California
88,325-052,325-052-03,,Palmers Point to Scotty Point,3,Palmers Point to Scotty Point-3,Humboldt,Subcolony,,-124.16515600000,41.12598399980,,,Southern Oregon and Northern California
89,325-052,325-052-04,,Palmers Point to Scotty Point,4,Palmers Point to Scotty Point-4,Humboldt,Subcolony,,-124.16364000000,41.12063399980,,BLM,Southern Oregon and Northern California
90,325-052,325-052-05,,Palmers Point to Scotty Point,5,Palmers Point to Scotty Point-5,Humboldt,Subcolony,,-124.16089600000,41.11966600010,,,Southern Oregon and Northern California
91,325-052,325-052-06,,Palmers Point to Scotty Point,6,Palmers Point to Scotty Point-6,Humboldt,Subcolony,,-124.16578900000,41.11648000020,,,Southern Oregon and Northern California
92,325-052,325-052-07,,Palmers Point to Scotty Point,7,Palmers Point to Scotty Point-7,Humboldt,Subcolony,,-124.16382400000,41.11050699970,,BLM,Southern Oregon and Northern California
93,325-052,325-052-08,,Palmers Point to Scotty Point,8,Palmers Point to Scotty Point-8,Humboldt,Subcolony,,-124.16505800000,41.10588600020,,BLM,Southern Oregon and Northern California
94,325-052,325-052-09,,Palmers Point to Scotty Point,9,Palmers Point to Scotty Point-9,Humboldt,Subcolony,,-124.16324500000,41.10254999970,,BLM,Southern Oregon and Northern California
95,325-052,325-052-10,,Palmers Point to Scotty Point,10,Palmers Point to Scotty Point-10,Humboldt,Subcolony,,-124.16613300000,41.10168500030,,BLM,Southern Oregon and Northern California
96,325-052,325-052-11,,Palmers Point to Scotty Point,11,Palmers Point to Scotty Point-11,Humboldt,Subcolony,,-124.16460900000,41.10130400010,,,Southern Oregon and Northern California
97,325-052,325-052-99,,Palmers Point to Scotty Point,99,Palmers Point to Scotty Point Centroid,Humboldt,"Colony, centroid of subcolonies",,-124.16491719600,41.11672147110,,,Southern Oregon and Northern California
98,325-053,325-053-01,HU-410-06,Scotty Point to Megwill Point,1,Scotty Point to Megwill Point-1,Humboldt,Subcolony,,-124.15772500000,41.09018100020,,,Southern Oregon and Northern California
99,325-053,325-053-02,HU-410-06,Scotty Point to Megwill Point,2,Scotty Point to Megwill Point-2,Humboldt,Subcolony,,-124.15604900000,41.09033799990,,,Southern Oregon and Northern California
100,325-053,325-053-03,HU-410-06,Scotty Point to Megwill Point,3,Scotty Point to Megwill Point-3,Humboldt,Subcolony,,-124.15891400000,41.08587600000,,,Southern Oregon and Northern California
101,325-053,325-053-04,HU-410-06,Scotty Point to Megwill Point,4,Scotty Point to Megwill Point-4,Humboldt,Subcolony,,-124.15994600000,41.08409200000,,,Southern Oregon and Northern California
102,325-053,325-053-05,HU-410-06,Scotty Point to Megwill Point,5,Scotty Point to Megwill Point-5,Humboldt,Subcolony,,-124.15782600000,41.08132999980,,,Southern Oregon and Northern California
103,325-053,325-053-06,HU-410-06,Scotty Point to Megwill Point,6,Scotty Point to Megwill Point-6,Humboldt,Subcolony,,-124.15970900000,41.07374299990,,,Southern Oregon and Northern California
104,325-053,325-053-07,HU-410-06,Scotty Point to Megwill Point,7,Scotty Point to Megwill Point-7,Humboldt,Subcolony,,-124.16233500000,41.06965499970,,BLM,Southern Oregon and Northern California
105,325-053,325-053-99,HU-410-06,Scotty Point to Megwill Point,99,Scotty Point to Megwill Point Centroid,Humboldt,"Colony, centroid of subcolonies",,-124.16262800000,41.08472500010,,,Southern Oregon and Northern California
106,325-054,325-054-01,HU-410-18,Trinidad Bay Rocks,1,Trinidad Bay Rocks-1,Humboldt,Subcolony,,-124.14649000000,41.05525200030,,BLM,Southern Oregon and Northern California
107,325-054,325-054-02,HU-410-18,Trinidad Bay Rocks,2,Trinidad Bay Rocks-2,Humboldt,Subcolony,,-124.14620400000,41.05586399990,,,Southern Oregon and Northern California
108,325-054,325-054-03,HU-410-18,Trinidad Bay Rocks,3,Trinidad Bay Rocks-3,Humboldt,Subcolony,,-124.14364800000,41.05617800030,,BLM,Southern Oregon and Northern California
109,325-054,325-054-04,HU-410-18,Trinidad Bay Rocks,4,Trinidad Bay Rocks-4,Humboldt,Subcolony,,-124.14168200000,41.05634100020,,BLM,Southern Oregon and Northern California
110,325-054,325-054-05,HU-410-18,Trinidad Bay Rocks,5,Trinidad Bay Rocks-5,Humboldt,Subcolony,,-124.13998500000,41.05616599970,,,Southern Oregon and Northern California
111,325-054,325-054-06,HU-410-18,Trinidad Bay Rocks,6,Trinidad Bay Rocks-6,Humboldt,Subcolony,,-124.14042300000,41.05455899970,,BLM,Southern Oregon and Northern California
112,325-054,325-054-07,HU-410-18,Trinidad Bay Rocks,7,Trinidad Bay Rocks-7,Humboldt,Subcolony,,-124.13445800000,41.05242200020,,BLM,Southern Oregon and Northern California
113,325-054,325-054-08,HU-410-18,Trinidad Bay Rocks,8,Trinidad Bay Rocks-8,Humboldt,Subcolony,,-124.13438500000,41.05186200020,,BLM,Southern Oregon and Northern California
114,325-054,325-054-09,HU-410-18,Trinidad Bay Rocks,9,Trinidad Bay Rocks-9,Humboldt,Subcolony,,-124.13355200000,41.05143700010,,BLM,Southern Oregon and Northern California
115,325-054,325-054-10,HU-410-18,Trinidad Bay Rocks,10,Trinidad Bay Rocks-10,Humboldt,Subcolony,,-124.13123500000,41.05088300000,,BLM,Southern Oregon and Northern California
