lngLocationID,strColonyCode,strColonyName,strColonyType,strCounty,strState,strCountry,strPFSubregion,strJurisdiction,strDescription,strLME,strUSFWSRefuge,dblLatitude,dblLongitude,dblDistanceToShore
2015,270-129,Macklyn Cove Rocks,BLOY Nest Sites,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Cluster of offshore rocks at Macklyn Cove.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.04361,-124.2878,97.30726191
2016,270-128.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Cliffs in cove southeast of 270-127.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.05392784,-124.2998431,0
2017,270-128,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Cluster of rocks extending from Ransom Creek to headland north of Zwagg Island.  Rock north of 270-127.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.05547597,-124.3015403,27.29137404
2018,270-128.2,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.05631701,-124.3057436,387.5620353
2019,270-127,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,90' tall rock with vegetation on top.  Tall rock changed to 270-127; remaining cluster to 270-128.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.05670203,-124.3023057,152.2283959
2020,270-126.1,"""Unnamed Colony""",BLOY Nest Sites,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Cluster of offshore rocks at Harris Beach State Park between 270-126 and 270-128.  Three larger rocks.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.06111,-124.3061,140.1957985
2021,270-126,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Cluster of rocks at Harris Beach State Park.  Tallest rock has vegetation on top and is connected to mainland by spit.  Heavy foot traffic.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.06407775,-124.3095338,106.492413
2022,270-124,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Small rock east of Goat Island.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.06504027,-124.3193222,404.8772436
2023,270-125.2,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.06505222,-124.3118165,53.13650952
2024,270-125,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,110' high arched rock with shrubby vegetation on top.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.06548563,-124.3129382,13.62890981
2025,270-123,Goat Island,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"Very large vegetated island 212' high, west of Harris Beach State Park.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.0656712,-124.3224962,564.3773785
2026,270-125.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Tall spire connected to mainland at low tide.  Thick vegetation on top and west side.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.06603757,-124.3114834,1.464071481
2027,270-121,White Rock,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,70' high rock with very sparse vegetation.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.07824591,-124.338726,1003.147493
2028,270-122,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Cluster of three rocks southwest of Taylor Creek mouth.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.0802375,-124.3273247,268.9152638
2029,270-120,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Cluster of rocks between Rainbow Island and Rainbow Rock.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.08487602,-124.3322303,97.75736063
2030,270-119,Rainbow Island,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,100' high dome-shaped rock with very sparse vegetation.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.08513382,-124.3369556,270.8080696
2031,270-118,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Cluster of rocks north of Rainbow Island.  Largest rock is a flat-topped pillar with low vegetation.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.09045482,-124.3411365,178.3017747
2032,270-117,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"Cluster of rocks.  Westernmost rock 75' high, sparsely vegetated.  South of Lone Ranch beach.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.09115163,-124.3455757,346.9717234
2033,270-116,Twin Rocks (West),Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"101' high rock, very sparse vegetation.  Western rock of twin rocks.  Was 270-115 in 1979 draft catalog.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.09168579,-124.3515819,713.6440704
