lngSpeciesSurveyId,lngCensusId,strColonyCode,dtmSurveyDate,intSurveyYear,strAOUCode,strWhatCounted,strEstimateType,intActualBirdCount,intNumberOfNests,intNumberOfEmptyNests,intEstimatedBreedingPopulation,strEstimatedBreedingPopulation,strAbundance,strDataQuality,memSpeciesNotes,strConversionFactor,strPhotoInterpreters,strDataEntryClerk,dtmDataEntryDate,lngPhotosID,lngQuickSurveyID
1,680,219-001,6/4/1988,1988,BRAC,N,W,,78,,156,156,Present,1,,2,Unknown,Craig S. Strong,11/15/2000,,
2,680,219-001,6/4/1988,1988,COMU,B,W,8,,,13,13,Present,2,,1.67,Unknown,Craig S. Strong,11/15/2000,,
3,694,219-000.1,6/8/1988,1988,PIGU,B,W,40,,,40,40,Present,3,,L,NA,Craig S. Strong,11/15/2000,,
4,694,219-001,6/8/1988,1988,PECO,N,W,,1,,2,2,Present,1,,2,NA,Craig S. Strong,11/15/2000,,
5,694,219-001,6/8/1988,1988,PIGU,B,W,17,,,17,17,Present,3,,L,NA,Craig S. Strong,11/15/2000,,
6,680,219-002,6/4/1988,1988,BRAC,N,W,,401,,802,802,Present,1,,2,Unknown,Craig S. Strong,11/16/2000,83,
7,694,219-002,6/8/1988,1988,PIGU,B,W,24,,,24,24,Present,3,,L,NA,Craig S. Strong,11/16/2000,,
8,680,219-003,6/4/1988,1988,BRAC,N,W,,30,,60,60,Present,1,,2,Unknown,Betty L. Depee,11/18/2000,,
9,680,219-003,6/4/1988,1988,COMU,B,W,173,,,289,289,Present,2,,1.67,Unknown,Betty L. Depee,11/18/2000,,
10,680,219-004,6/4/1988,1988,BRAC,N,W,,24,,48,48,Present,1,,2,Unknown,Betty L. Depee,11/18/2000,,
11,680,219-005,6/4/1988,1988,BRAC,N,W,,218,,436,436,Present,1,"Nests on roof, decks, and island rocky areas.",2,Unknown,Betty L. Depee,11/18/2000,,
12,694,219-005,6/8/1988,1988,BLOY,B,W,1,,,1,1,Present,3,"Nests on roof, decks, and surrounding rocks.",L,NA,Betty L. Depee,11/18/2000,,
13,694,219-003,6/8/1988,1988,WGGU,N,W,,2,,4,4,Present,1,,2,NA,Betty L. Depee,11/18/2000,,
14,694,219-003,6/8/1988,1988,PIGU,B,W,32,,,32,32,Present,3,,L,NA,Betty L. Depee,11/18/2000,,
15,694,219-004,6/8/1988,1988,WGGU,N,W,,2,,4,4,Present,1,,2,NA,Betty L. Depee,11/18/2000,,
16,694,219-004,6/8/1988,1988,PIGU,B,W,16,,,16,16,Present,3,,L,NA,Betty L. Depee,11/18/2000,,
17,694,219-005,6/8/1988,1988,WGGU,N,W,,1,,2,2,Present,1,"Nests on roof, decks, and surrounding rocks.",2,NA,Betty L. Depee,11/18/2000,,
18,655,219-021,5/10/1988,1988,LHSP,O,P,,,,,P,Probable,4,,L,NA,Betty L. Depee,11/28/2000,,
19,655,219-021,5/10/1988,1988,FTSP,O,P,,,,,P,Probable,4,,L,NA,Betty L. Depee,11/28/2000,,
20,656,219-021,5/10/1988,1988,PECO,N,W,,98,,196,196,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
21,655,219-012,5/10/1988,1988,BLOY,B,W,3,,,3,3,Present,3,,L,NA,Betty L. Depee,11/28/2000,,
22,655,219-012.1,5/10/1988,1988,WGGU,N,W,,8,,16,16,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
23,655,219-016,5/10/1988,1988,WGGU,N,W,,2,,4,4,Present,1,,2,NA,Betty L. Depee,11/28/2000,,
24,680,219-005,6/4/1988,1988,COMU,B,W,5628,,,9399,9399,Present,2,"Nests on roof, decks, and island rocky areas.",1.67,Unknown,Betty L. Depee,11/28/2000,,
25,680,219-006,6/4/1988,1988,BRAC,N,W,,48,,96,96,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
26,680,219-009,6/4/1988,1988,BRAC,N,W,,18,,36,36,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
27,680,219-009,6/4/1988,1988,WGGU,N,W,,8,,16,16,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
28,680,219-009,6/4/1988,1988,BLOY,B,W,2,,,,X,Present,3,,L,Unknown,Betty L. Depee,11/28/2000,,
29,680,219-010,6/4/1988,1988,BRAC,N,W,,18,,36,36,Present,1,Most birds nest on eastern rock.,2,Unknown,Betty L. Depee,11/28/2000,,
30,680,219-010,6/4/1988,1988,COMU,B,W,21,,,35,35,Present,2,Most birds nest on eastern rock.,1.67,Unknown,Betty L. Depee,11/28/2000,,
31,680,219-007,6/4/1988,1988,BRAC,N,W,,181,,362,362,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
32,680,219-021,6/4/1988,1988,WGGU,B,W,1081,,,1081,1081,Present,3,,L,Unknown,Betty L. Depee,11/28/2000,,
33,680,219-019,6/4/1988,1988,BRAC,N,W,,376,,752,752,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
34,680,219-019,6/4/1988,1988,WGGU,N,W,,5,,10,10,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
35,680,219-019,6/4/1988,1988,COMU,B,W,5610,,,9369,9369,Present,2,,1.67,Unknown,Betty L. Depee,11/28/2000,,
36,680,219-014,6/4/1988,1988,COMU,B,W,18,,,30,30,Present,2,,1.67,Unknown,Betty L. Depee,11/28/2000,,
37,680,219-013,6/4/1988,1988,PECO,N,W,,13,,26,26,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
38,680,219-013,6/4/1988,1988,BRAC,N,W,,4,,8,8,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
39,680,219-013,6/4/1988,1988,COMU,B,W,1602,,,2675,2675,Present,2,,1.67,Unknown,Betty L. Depee,11/28/2000,,
40,680,219-017,6/4/1988,1988,BRAC,N,W,,228,,456,456,Present,1,,2,Unknown,Betty L. Depee,11/28/2000,,
