Year,Date,Island,Island Number,Observer 1,Observer 2,Observer 3,Observer 4,Start time,End time,Total time (h:mm),Starting location,Lat,Long,Ending location,Lat,Long,Beaufort,Temp,Cloud,Wind (knots),Precip,Point or Transect,Location,SPECIES_CO,SPECIES,TAX_NO,On water,Flying,"Cliff/rock -      TUPU = all, Other Sp. = non-nesting",Cliff/Rock0-0Other0Sp0-0nest0only, TUPU Burrow Entry/Nest,TUPU Burrow Exit,All Sp. Carrying Fish,Total,More detail?,Notes
2005,5/24/2005,Alexander Island,174010,"Vanderwall, V.","Kaufman, K. ","Smith, J. ",,11:42,13:42,2:00,,47.80166667,-124.6675,,,,2,57,1,15,,,,BAEA,Bald Eagle,,0,3,0,0,0,0,0,3,,
2005,5/24/2005,Alexander Island,174010,"Vanderwall, V.","Kaufman, K. ","Smith, J. ",,11:42,13:42,2:00,,47.80166667,-124.6675,,,,2,57,1,15,,,,GULL,Gull spp.,534,51,0,0,0,0,0,0,51,,
2005,5/24/2005,Alexander Island,174010,"Vanderwall, V.","Kaufman, K. ","Smith, J. ",,11:42,13:42,2:00,,47.80166667,-124.6675,,,,2,57,1,15,,,,PEFA,Peregrine Falcon,,0,2,0,0,0,0,0,2,,
2005,5/27/2005,Jagged Island,174027,"Vanderwall, V.","Smith, J. ","Kaufman, K. ",,8:00,10:00,2:00,,48.19027778,-124.9127778,,,,2,63,1,5,,,,GULL,Gull spp.,534,251,363,2945,0,0,0,0,3559,Jagged Island A/D C1,
2005,6/3/2005,Tatoosh Island,155001,"Vanderwall, V.","Kaufman, K. ","Smith, J. ",,9:27,11:17,1:50,,48.46972222,-124.7672222,,,,2,61,3,10,,,,BAEA,Bald Eagle,,0,3,0,0,0,0,0,3,,
2005,6/3/2005,Tatoosh Island,155001,"Vanderwall, V.","Kaufman, K. ","Smith, J. ",,9:27,11:17,1:50,,48.46972222,-124.7672222,,,,2,61,3,10,,,,GULL,Gull spp.,534,0,435,3702,0,0,0,0,4137,,
2005,6/3/2005,Tatoosh Island,155001,"Vanderwall, V.","Kaufman, K. ","Smith, J. ",,9:27,11:17,1:50,,48.46972222,-124.7672222,,,,2,61,3,10,,,,RHAU,Rhinoceros Auklet,150,1,2,0,0,0,0,0,3,,
2005,6/3/2005,Tatoosh Island,155001,"Vanderwall, V.","Kaufman, K. ","Smith, J. ",,9:27,11:17,1:50,,48.46972222,-124.7672222,,,,2,61,3,10,,,,TUVU,Turkey Vulture,,0,6,0,0,0,0,0,6,,
2005,6/10/2005,Tatoosh Island,155001,"Vanderwall, V.","Kaufman, K. ","Hamilton, P. ",,7:03,8:53,1:50,,48.46972222,-124.7672222,,,,2,55,3,5,D,,,BAEA,Bald Eagle,,0,0,2,0,0,0,0,2,,
2005,6/10/2005,Tatoosh Island,155001,"Vanderwall, V.","Kaufman, K. ","Hamilton, P. ",,7:03,8:53,1:50,,48.46972222,-124.7672222,,,,2,55,3,5,D,,,GULL,Gull spp.,534,12,482,3380,0,0,0,0,3874,,
